business_name,category,address,city,state,phone,maps_url,website_status,confirmed,source_batch,notes,place_geoid
The Madcutter (Hair by Chell),shop:hairdresser,112 N Main St,Woodstock,VA,540-325-6255,https://www.google.com/maps/search/?api=1&query=The%20Madcutter%20salon%2C%20112%20N%20Main%20St%2C%20Woodstock%2C%20VA,no_website,likely,batch2,OSM name Hair by Chell; owner Chell Utz opened The Madcutter at 112 N Main (NV Daily). Appointments by phone. No company website found.,5187712
Old Towne Hair,shop:hairdresser,29306 Old Towne Rd,Chisago City,MN,(651) 213-1199,https://www.google.com/maps/search/?api=1&query=Old%20Towne%20Hair%2029306%20Old%20Towne%20Rd%20Chisago%20City%20MN,no_website,yes,batch3,MapQuest listing with hours; BestPros 47 reviews; Fresha aggregator (not a company site). oldtownhaircompany.com is Fort Collins CO. Sitka-style web-found because OSM was sparse (4 elements).,2711350
Chisago Garage & Tire,shop:car_repair,29265 Isabel St,Chisago City,MN,(651) 257-5466,https://www.google.com/maps/search/?api=1&query=Chisago%20Garage%20%26%20Tire%2029265%20Isabel%20St%20Chisago%20City%20MN,no_website,likely,batch3,"Also known as Don's Garage. MapQuest listing (Call, no Website). Nextdoor neighbor rec May 2026. No company domain. Sitka-style web-found.",2711350
Fadestrong Barber Shop,shop:hairdresser,119 West Wea Street,Paola,KS,+1 913-713-8269,https://www.google.com/maps/search/?api=1&query=Fadestrong%20Barber%20Shop%20119%20W%20Wea%20St%20Paola%20KS,no_website,yes,batch3,"OSM + LocalityBiz. Booking is square.site (aggregator, not a company website). No owned domain.",2054250
ZAM Device Repair,craft:electronics_repair,10 West Peoria Street,Paola,KS,+1 913-594-3315,https://www.google.com/maps/search/?api=1&query=ZAM%20Device%20Repair%2010%20W%20Peoria%20St%20Paola%20KS,no_website,yes,batch3,OSM + MapQuest listing (no Website button). One Nextdoor dump also lists 1608 Industrial Park Dr; kept OSM/MapQuest downtown address. No company domain.,2054250
Circle C Cafe,amenity:cafe,1305 Baptiste Drive,Paola,KS,(913) 294-5300,https://www.google.com/maps/search/?api=1&query=Circle%20C%20Cafe%201305%20Baptiste%20Dr%20Paola%20KS,facebook_only,yes,batch3,OSM + MapQuest. Chamber Visit Website is facebook.com/circleccafe. Restaurantji 191 reviews. No company domain.,2054250
Shear Bliss Hair Salon,shop:hairdresser,"103 North Pearl Street, #A",Paola,KS,(913) 222-9347,https://www.google.com/maps/search/?api=1&query=Shear%20Bliss%20Hair%20Salon%20103%20N%20Pearl%20St%20Paola%20KS,facebook_only,yes,batch3,OSM name Susan Bliss Hair Salon; operating as Shear Bliss at 103 N Pearl Ste A. MapQuest listing. shearbliss.comb.works is Tillamook OR. No Paola company domain.,2054250
Milo's Steakhouse,amenity:restaurant,16 W Peoria St,Paola,KS,(913) 294-4148,https://www.google.com/maps/search/?api=1&query=Milo%27s%20Steakhouse%2016%20W%20Peoria%20St%20Paola%20KS,facebook_only,yes,batch3,OSM + Paola Chamber (Facebook only). Restaurantji 229 reviews. MenuPix. No company domain.,2054250
Home Town Market & Floral,shop:florist,20 South Silver Street,Paola,KS,(913) 333-2081,https://www.google.com/maps/search/?api=1&query=Home%20Town%20Market%20%26%20Floral%2020%20S%20Silver%20St%20Paola%20KS,facebook_only,yes,batch3,OSM + MapQuest. Paola Chamber Visit Website is facebook.com/HomeTownMarketFloral. No company domain.,2054250
Alfonso's Mexican Food,amenity:restaurant,412 Clayton Road,Raton,NM,(575) 445-8022,https://www.google.com/maps/search/?api=1&query=Alfonso%27s%20Mexican%20Food%20412%20Clayton%20Rd%20Raton%20NM,facebook_only,yes,batch3,OSM + MapQuest Website field is Facebook. Restaurantji 271 reviews. Independent gas-station diner. No company domain.,3562060
Savvy Nails,shop:beauty,1253 South 2nd Street,Raton,NM,(505) 617-6070,https://www.google.com/maps/search/?api=1&query=Savvy%20Nails%201253%20S%202nd%20St%20Raton%20NM,facebook_only,likely,batch3,OSM tagged Raton Nail & Spa at this address; The Ratonian (2025) identifies current operator as Savvy Nails. Facebook savvy.nails.2025. No company domain.,3562060
La Cosina Café,amenity:restaurant,745 S 3rd St,Raton,NM,(575) 445-9675,https://www.google.com/maps/search/?api=1&query=La%20Cosina%20Cafe%20745%20S%203rd%20St%20Raton%20NM,facebook_only,yes,batch3,186 Google reviews cited by directory; Restaurantji; official website listed as Facebook. Sitka-style web-found (OSM candidate list was chain/site/closed-heavy).,3562060
Good Times Barbershop,shop:hairdresser,104 N 2nd St,Raton,NM,(575) 921-4602,https://www.google.com/maps/search/?api=1&query=Good%20Times%20Barbershop%20104%20N%202nd%20St%20Raton%20NM,no_website,yes,batch3,MapQuest listing. Booking is heygoldie.com / square.site (aggregators). Some listings also show 216 Park Ave. No owned domain.,3562060
"Dolphin Auto, LLC",shop:car_repair,6010 US-1,Grant-Valkaria,FL,(321) 984-8322,https://www.google.com/maps/search/?api=1&query=Dolphin%20Auto%20LLC%206010%20US-1%20Grant-Valkaria%20FL,facebook_only,yes,batch3,Birdeye 96 reviews; Facebook; owner Kenny Scofield. Sitka-style web-found. Huge-land OSM cluster snapped to Palm Bay/Malabar Rd (outside town); not used for keeps.,1227256
J&J Mobile Auto Repair,shop:car_repair,7775 Babcock St SE,Grant-Valkaria,FL,(321) 431-6415,https://www.google.com/maps/search/?api=1&query=J%26J%20Mobile%20Auto%20Repair%207775%20Babcock%20St%20SE%20Grant-Valkaria%20FL,no_website,yes,batch3,Waze Place ID ChIJiWkDFMdt3ogRe0h0_DOKv3k; BBB A+; Birdeye 50 reviews. No company domain. Sitka-style web-found.,1227256
Hibachi House,amenity:restaurant,508 Carolina Ave,Erwin,TN,(423) 735-1110,https://www.google.com/maps/search/?api=1&query=Hibachi%20House%20508%20Carolina%20Ave%20Erwin%20TN,facebook_only,yes,batch3,OSM + Restaurantji 167 reviews. Official site listed as Facebook. No company domain.,4724360
Family Auto Care,shop:car_repair,155 Sara Day Rd,Erwin,TN,(423) 735-3541,https://www.google.com/maps/search/?api=1&query=Family%20Auto%20Care%20155%20Sara%20Day%20Rd%20Erwin%20TN,no_website,likely,batch3,MapQuest no Website. Listed for sale as a going concern (still operating). No company domain.,4724360
City Barber Shop,shop:hairdresser,610 Carolina Ave,Erwin,TN,(423) 743-0295,https://www.google.com/maps/search/?api=1&query=City%20Barber%20Shop%20610%20Carolina%20Ave%20Erwin%20TN,no_website,likely,batch3,Directories list Website: N/A. Independent downtown barber. No company domain.,4724360
Big E Auto Care,shop:car_repair,1625 Jonesborough Rd,Erwin,TN,(423) 743-4266,https://www.google.com/maps/search/?api=1&query=Big%20E%20Auto%20Care%201625%20Jonesborough%20Rd%20Erwin%20TN,no_website,yes,batch3,Loc8NearMe listing; owner Charles Broyles. No company domain.,4724360
TJ's Service & Repair,shop:car_repair,565 E Main St,Midway,UT,(435) 654-0859,https://www.google.com/maps/search/?api=1&query=TJ%27s%20Service%20%26%20Repair%20565%20E%20Main%20St%20Midway%20UT,no_website,yes,batch3,MapQuest specialties/hours; owner Travis Zaccardi. No company domain.,4949820
Cactus & Pine Boutique,shop:clothes,93 W Main St,Midway,UT,(435) 503-4242,https://www.google.com/maps/search/?api=1&query=Cactus%20%26%20Pine%20Boutique%2093%20W%20Main%20St%20Midway%20UT,no_website,likely,batch3,"OSM name Cactus and Pine. MapQuest + Yelp (5 months ago). Heber Valley chamber Website field empty. cactusandpine.com is Arizona GCSA, not this shop.",4949820
Soul Barber Shop,shop:hairdresser,278 South Academy Street,Hightstown,NJ,(609) 443-6419,https://www.google.com/maps/search/?api=1&query=Soul%20Barber%20Shop%20278%20S%20Academy%20St%20Hightstown%20NJ,no_website,likely,batch3,Directories (cmac.ws Website: N/A; Yellow Pages). Owner Jesse Lockett. Elegant/Legends at 104 Mercer dropped because MapQuest lists legendsbarbershop.com. Thin OSM (12 elements).,3431620
Mega's Grill & Eatery,amenity:restaurant,101 McKinsey Drive,Maquoketa,IA,(563) 652-6679,https://www.google.com/maps/search/?api=1&query=Mega%27s%20Grill%20and%20Eatery%20101%20McKinsey%20Dr%20Maquoketa%20IA,facebook_only,yes,batch3,OSM + MapQuest Website=Facebook; 351 reviews. No company domain.,1949215
Solutions Full Service Salon,shop:beauty,111 McKinsey Drive,Maquoketa,IA,(563) 652-7018,https://www.google.com/maps/search/?api=1&query=Solutions%20Full%20Service%20Salon%20111%20McKinsey%20Dr%20Maquoketa%20IA,facebook_only,likely,batch3,OSM + Facebook-only presence. No company domain.,1949215
HWY 61 Dry Cleaners,shop:dry_cleaning,108 Jones Street,Maquoketa,IA,(563) 652-3641,https://www.google.com/maps/search/?api=1&query=HWY%2061%20Dry%20Cleaners%20108%20Jones%20St%20Maquoketa%20IA,no_website,yes,batch3,OSM + chamber listing. No company domain.,1949215
Furniture & Mattress Line,shop:furniture,"101 Westgate Drive, #4",Maquoketa,IA,(563) 748-0750,https://www.google.com/maps/search/?api=1&query=Furniture%20and%20Mattress%20Line%20101%20Westgate%20Dr%20Maquoketa%20IA,no_website,yes,batch3,OSM + MapQuest no Website; chamber. No company domain.,1949215
Marsha's Haircuts,shop:hairdresser,703 Main Ave,Nitro,WV,(304) 755-8700,https://www.google.com/maps/search/?api=1&query=Marsha%27s%20Haircuts%20703%20Main%20Ave%20Nitro%20WV,no_website,yes,batch3,"MapQuest listing (3 Yelp reviews via MapQuest). edan.io is a directory, not a company site. In-Nitro (not Cross Lanes radius spillover). OSM radius hit mostly Cross Lanes chains.",5459068
Harbor Barber & Beauty Emporium,shop:hairdresser,1067 Ocean Dr,Homer,AK,907-235-4333,https://www.google.com/maps/search/?api=1&query=Harbor%20Barber%20%26%20Beauty%20Emporium%201067%20Ocean%20Dr%20Homer%20AK,no_website,likely,batch3,barbershops.net / Secret Salons directories. haircutlocations.com is an aggregator. No first-party domain.,0233140
Clippership Barbershop,shop:hairdresser,158 W Pioneer Ave Ste A,Homer,AK,(907) 240-1392,https://www.google.com/maps/search/?api=1&query=Clippership%20Barbershop%20158%20W%20Pioneer%20Ave%20Homer%20AK,facebook_only,yes,batch3,"OSM + AK company registry (good standing, Ginger/Virginia Moore). Facebook page; salondiscover. No company domain.",0233140
Lonnie's Automotive Repair,shop:car_repair,3804 Heath St,Homer,AK,(907) 435-9999,https://www.google.com/maps/search/?api=1&query=Lonnie%27s%20Automotive%20Repair%203804%20Heath%20St%20Homer%20AK,no_website,yes,batch3,Loc8NearMe hours/reviews; Birdeye 18 reviews; placewing Website blank. visithomeralaska.com directory. No company domain.,0233140
Cooper Automotive,shop:car_repair,1355 Ocean Dr,Homer,AK,(907) 299-5422,https://www.google.com/maps/search/?api=1&query=Cooper%20Automotive%201355%20Ocean%20Dr%20Homer%20AK,facebook_only,yes,batch3,"OSM + MapQuest (Call, no Website button). Facebook CooperAutomotive99603. AK LLC good standing (Josh Cooper). No company domain.",0233140
Haircuts by Holly,shop:hairdresser,126 W Pioneer Ave #4,Homer,AK,(907) 299-0006,https://www.google.com/maps/search/?api=1&query=Haircuts%20by%20Holly%20126%20W%20Pioneer%20Ave%20Homer%20AK,facebook_only,likely,batch3,Birdeye 5.0 listing; Facebook haircutsbyholly. No company domain.,0233140
Highliner Salon Studio,shop:hairdresser,672 East End Rd Suite C,Homer,AK,(907) 299-5442,https://www.google.com/maps/search/?api=1&query=Highliner%20Salon%20Studio%20672%20East%20End%20Rd%20Homer%20AK,no_website,yes,batch3,"Booking is Vagaro (aggregator, not a company website). Facebook/Instagram. salondiscover 11 reviews. No owned domain.",0233140
Rump's BBQ,amenity:restaurant,3582 Main Street,Homer,AK,(907) 299-9709,https://www.google.com/maps/search/?api=1&query=Rump%27s%20BBQ%203582%20Main%20St%20Homer%20AK,facebook_only,likely,batch3,OSM 3582 Main St; some listings 98 Sterling Hwy (seasonal #2). Restaurantjump Website blank; Facebook. No company domain.,0233140
Tracy Plaza Barber Shop,shop:hairdresser,400 Tracy Rd #6,New Whiteland,IN,(317) 535-7044,https://www.google.com/maps/search/?api=1&query=Tracy%20Plaza%20Barber%20Shop%20400%20Tracy%20Rd%20New%20Whiteland%20IN,facebook_only,yes,batch3,"Facebook + Fresha aggregator (not a company site). salondiscover 13 reviews, owner Ed Ward. Wood Auto Repair dropped (woodautorepair.com). Friends Diner dropped (friendsdinerwhiteland.com). Thin OSM (5 elements).",1853874
Sweet Scoops market,shop:convenience,300 Tracy Rd,New Whiteland,IN,(317) 530-9764,https://www.google.com/maps/search/?api=1&query=Sweet%20Scoops%20market%20300%20Tracy%20Rd%20New%20Whiteland%20IN,no_website,yes,batch3,"OSM + Hoosier Lottery 2021+ owner profile. Ordering portal is square.site (aggregator, not a company website). scoopsandtreasures.com is a prior occupant.",1853874
Magoo's Place,amenity:restaurant,905 E Avenue E,Alpine,TX,(432) 837-9951,https://www.google.com/maps/search/?api=1&query=Magoo%27s%20Place%20905%20E%20Avenue%20E%20Alpine%20TX,facebook_only,yes,batch3,OSM + MapQuest Website=Facebook. Restaurantji 310 reviews. Independent homestyle diner. No company domain.,4802104
La Casita,amenity:restaurant,1104 E Avenue H,Alpine,TX,(432) 837-2842,https://www.google.com/maps/search/?api=1&query=La%20Casita%201104%20E%20Avenue%20H%20Alpine%20TX,facebook_only,yes,batch3,OSM + MapQuest Website=Facebook. Restaurantji 286 reviews. Cash-only Mexican in a former home. No company domain.,4802104
Alicia's Mexican Restaurant,amenity:restaurant,708 E Gallego Ave,Alpine,TX,(432) 837-2802,https://www.google.com/maps/search/?api=1&query=Alicia%27s%20Mexican%20Restaurant%20708%20E%20Gallego%20Ave%20Alpine%20TX,facebook_only,yes,batch3,Visit Alpine listing; Facebook 1705 were-here. Take-out Mexican. No company domain.,4802104
Happy Nails & Spa,shop:beauty,709 E Holland Ave,Alpine,TX,(432) 538-7110,https://www.google.com/maps/search/?api=1&query=Happy%20Nails%20%26%20Spa%20709%20E%20Holland%20Ave%20Alpine%20TX,no_website,yes,batch3,Google Place ID ChIJH21AQgra74YRrKH3OHlXw-c; 32 ratings 4.7. No website field. No company domain.,4802104
Baker's Dozen Donuts,amenity:fast_food,801 North 5th Street,Alpine,TX,(432) 837-5331,https://www.google.com/maps/search/?api=1&query=Bakers%20Dozen%20Donuts%20801%20N%205th%20St%20Alpine%20TX,facebook_only,yes,batch3,MapQuest Website=Facebook; 95 reviews. Independent donut shop. No company domain.,4802104
Buddy's Auto Repair,shop:car_repair,103 N 7th St,Alpine,TX,(432) 837-3581,https://www.google.com/maps/search/?api=1&query=Buddy%20Auto%20Repair%20103%20N%207th%20St%20Alpine%20TX,no_website,yes,batch3,"MapQuest + Birdeye 22 reviews; Loc8NearMe reviews through Aug 2025. buddysautorepair.com is Scottsdale AZ, not this shop. Facebook 25+ years.",4802104
Acevedos Auto Service & Tire Shop,shop:car_repair,1501 W Hwy 90,Alpine,TX,(915) 312-2233,https://www.google.com/maps/search/?api=1&query=Acevedos%20Auto%20Service%20and%20Tire%20Shop%201501%20W%20Hwy%2090%20Alpine%20TX,facebook_only,yes,batch3,MapQuest; Big Bend Reporter Aug 2025; TX LLC active 2025. Facebook page. No company domain.,4802104
Belding C-Store,shop:convenience,1002 South Bridge Street,Belding,MI,(616) 794-3710,https://www.google.com/maps/search/?api=1&query=Belding%20C-Store%2C%201002%20South%20Bridge%20Street%2C%20Belding%2C%20MI,no_website,yes,batch4,OSM unnamed convenience at 1002 S Bridge + MapQuest (Website unknown). No company domain.,2606900
Mini Market,shop:alcohol,404 West Main Street,Belding,MI,(616) 794-2660,https://www.google.com/maps/search/?api=1&query=Mini%20Market%2C%20404%20West%20Main%20Street%2C%20Belding%2C%20MI,no_website,yes,batch4,OSM shop:alcohol at 404 W Main + Loc8NearMe. No company domain.,2606900
Brett's Auto Body,shop:car_repair,8684 Storey Road,Belding,MI,(616) 794-0190,https://www.google.com/maps/search/?api=1&query=Brett%27s%20Auto%20Body%2C%208684%20Storey%20Road%2C%20Belding%2C%20MI,no_website,yes,batch4,MapQuest listing. Sitka-style web-found (OSM thin/unnamed). No company domain.,2606900
Jakeway Auto Repair,shop:car_repair,1510 West State Street,Belding,MI,(616) 244-3755,https://www.google.com/maps/search/?api=1&query=Jakeway%20Auto%20Repair%2C%201510%20West%20State%20Street%2C%20Belding%2C%20MI,facebook_only,yes,batch4,Facebook-only (42 reviews). Sitka-style web-found. No company domain.,2606900
Firehouse Pub,amenity:pub,780 Main Street,Buckley,WA,(360) 829-2999,https://www.google.com/maps/search/?api=1&query=Firehouse%20Pub%2C%20780%20Main%20Street%2C%20Buckley%2C%20WA,facebook_only,yes,batch4,OSM amenity:pub + Facebook. Restaurantji 196 reviews. Strongest Buckley listing. No company domain.,5308570
Georgio's Italian Kitchen,amenity:restaurant,737 Main Street,Buckley,WA,(360) 761-7037,https://www.google.com/maps/search/?api=1&query=Georgio%27s%20Italian%20Kitchen%2C%20737%20Main%20Street%2C%20Buckley%2C%20WA,facebook_only,yes,batch4,OSM + Facebook. No company domain.,5308570
Salon 790,shop:hairdresser,133 South Cedar Street,Buckley,WA,(360) 829-6623,https://www.google.com/maps/search/?api=1&query=Salon%20790%2C%20133%20South%20Cedar%20Street%2C%20Buckley%2C%20WA,no_website,yes,batch4,"OSM + Vagaro booking (aggregator, not a company website). No owned domain.",5308570
Salon 410,shop:hairdresser,135 Jefferson Avenue,Buckley,WA,(206) 393-7950,https://www.google.com/maps/search/?api=1&query=Salon%20410%2C%20135%20Jefferson%20Avenue%2C%20Buckley%2C%20WA,facebook_only,yes,batch4,OSM shop:hairdresser + Facebook. No company domain.,5308570
Church Street Grill,amenity:restaurant,121 West Church Street,Nashville,NC,(252) 459-4441,https://www.google.com/maps/search/?api=1&query=Church%20Street%20Grill%2C%20121%20West%20Church%20Street%2C%20Nashville%2C%20NC,facebook_only,yes,batch4,OSM + Facebook. Restaurantji 104 reviews. No company domain.,3746000
Nashville Diner,amenity:restaurant,309 West Curtis Street,Nashville,NC,(252) 459-2103,https://www.google.com/maps/search/?api=1&query=Nashville%20Diner%2C%20309%20West%20Curtis%20Street%2C%20Nashville%2C%20NC,facebook_only,yes,batch4,"OSM + Facebook. 200+ reviews. No company domain. NC town, not Nashville TN.",3746000
Dos Hermanos,amenity:restaurant,323 West Washington Street,Nashville,NC,(252) 459-2600,https://www.google.com/maps/search/?api=1&query=Dos%20Hermanos%2C%20323%20West%20Washington%20Street%2C%20Nashville%2C%20NC,facebook_only,yes,batch4,OSM + Facebook. Restaurantji 151 reviews. No company domain.,3746000
Nashville Exchange,amenity:restaurant,229 West Washington Street,Nashville,NC,(252) 459-6275,https://www.google.com/maps/search/?api=1&query=Nashville%20Exchange%2C%20229%20West%20Washington%20Street%2C%20Nashville%2C%20NC,no_website,yes,batch4,OSM + Restaurantji 135 reviews. No company domain.,3746000
One of Deez Days Steamhouse,amenity:restaurant,235 Main Street,Nashville,NC,(252) 462-5105,https://www.google.com/maps/search/?api=1&query=One%20of%20Deez%20Days%20Steamhouse%2C%20235%20Main%20Street%2C%20Nashville%2C%20NC,facebook_only,yes,batch4,OSM + Facebook. OSM also lists 252-459-6099. No company domain.,3746000
Scooter Station,shop:motorcycle_repair,120 South Boddie Street,Nashville,NC,(252) 459-5995,https://www.google.com/maps/search/?api=1&query=Scooter%20Station%2C%20120%20South%20Boddie%20Street%2C%20Nashville%2C%20NC,facebook_only,yes,batch4,OSM motorcycle repair + Facebook/Twitter. No live company site.,3746000
Mucho Mexico Sizzlin,amenity:restaurant,912 Eastern Avenue,Nashville,NC,(252) 459-9793,https://www.google.com/maps/search/?api=1&query=Mucho%20Mexico%20Sizzlin%2C%20912%20Eastern%20Avenue%2C%20Nashville%2C%20NC,facebook_only,yes,batch4,OSM + Facebook. Restaurantji 133 reviews. No company domain.,3746000
Alice's Beauty Shop,shop:hairdresser,211 West Washington Street,Nashville,NC,(252) 459-2317,https://www.google.com/maps/search/?api=1&query=Alice%27s%20Beauty%20Shop%2C%20211%20West%20Washington%20Street%2C%20Nashville%2C%20NC,no_website,yes,batch4,Loc8NearMe listing. Sitka-style web-found. No company domain.,3746000
Nashville Roots Hair,shop:hairdresser,919 Eastern Avenue,Nashville,NC,,https://www.google.com/maps/search/?api=1&query=Nashville%20Roots%20Hair%2C%20919%20Eastern%20Avenue%2C%20Nashville%2C%20NC,no_website,likely,batch4,OSM hairdresser + directories. Not the Nashville TN Roots chain. No company domain.,3746000
Molly's Pizzeria,amenity:restaurant,223 Cedar Street,Chillicothe,IL,(309) 270-8600,https://www.google.com/maps/search/?api=1&query=Molly%27s%20Pizzeria%2C%20223%20Cedar%20Street%2C%20Chillicothe%2C%20IL,facebook_only,yes,batch4,OSM + Facebook/Instagram. Restaurantji 115 reviews. No company domain.,1714117
Mid-Hudson Asian Market,shop:convenience,1554 Route 9,Wappingers Falls,NY,(845) 296-1007,https://www.google.com/maps/search/?api=1&query=Mid-Hudson%20Asian%20Market%2C%201554%20Route%209%2C%20Wappingers%20Falls%2C%20NY,facebook_only,yes,batch4,MapQuest Website=Facebook. Loc8NearMe reviews through 2026. OSM-rich town but almost all other leads had first-party sites.,3678168
Day & Night Diner,amenity:restaurant,1456 North Main Street,Palmer Town,MA,(413) 283-4536,https://www.google.com/maps/search/?api=1&query=Day%20%26%20Night%20Diner%2C%201456%20North%20Main%20Street%2C%20Palmer%20Town%2C%20MA,no_website,yes,batch4,Restaurantguru/Google ~4.4. Palmer-proper web-found after Belchertown cluster discarded. No company domain.,2552144
Sportsmen's Barber Shop,shop:hairdresser,1041 Thorndike Street,Palmer Town,MA,(413) 283-6540,https://www.google.com/maps/search/?api=1&query=Sportsmen%27s%20Barber%20Shop%2C%201041%20Thorndike%20Street%2C%20Palmer%20Town%2C%20MA,no_website,yes,batch4,Est. 1967. Directories list Website N/A. Thorndike village is inside Palmer Town. No company domain.,2552144
Jack's Barber Shop,shop:hairdresser,1110 Park Street,Palmer Town,MA,(413) 283-3188,https://www.google.com/maps/search/?api=1&query=Jack%27s%20Barber%20Shop%2C%201110%20Park%20Street%2C%20Palmer%20Town%2C%20MA,no_website,likely,batch4,Palmer-proper directory listing. No company domain. Sitka-style web-found.,2552144
Yankee Clipper Barber,shop:hairdresser,1367 Main Street,Palmer Town,MA,(413) 283-2020,https://www.google.com/maps/search/?api=1&query=Yankee%20Clipper%20Barber%2C%201367%20Main%20Street%2C%20Palmer%20Town%2C%20MA,no_website,likely,batch4,Palmer-proper directory listing. No company domain. Sitka-style web-found.,2552144
4 Corners Pub,amenity:bar,122 South Egan Avenue,Madison,SD,(605) 556-2600,https://www.google.com/maps/search/?api=1&query=4%20Corners%20Pub%2C%20122%20South%20Egan%20Avenue%2C%20Madison%2C%20SD,facebook_only,yes,batch4,OSM + Facebook. No company domain.,4640220
China Moon Madison,amenity:restaurant,111 North Egan Avenue,Madison,SD,(605) 256-4823,https://www.google.com/maps/search/?api=1&query=China%20Moon%20Madison%2C%20111%20North%20Egan%20Avenue%2C%20Madison%2C%20SD,no_website,yes,batch4,"OSM + Restaurantji 110 reviews. chinamoonrestaurant.com is Laguna Niguel CA, not this shop.",4640220
Foley's Bar,amenity:bar,120 South Egan Avenue,Madison,SD,(605) 256-3540,https://www.google.com/maps/search/?api=1&query=Foley%27s%20Bar%2C%20120%20South%20Egan%20Avenue%2C%20Madison%2C%20SD,facebook_only,yes,batch4,OSM + Facebook. 3rd-generation bar since 1945; chamber listing. Strongest Madison listing. No company domain.,4640220
Jack's Cold Storage,shop:butcher,208 SW 1st Street,Madison,SD,(605) 256-2556,https://www.google.com/maps/search/?api=1&query=Jack%27s%20Cold%20Storage%2C%20208%20SW%201st%20Street%2C%20Madison%2C%20SD,no_website,yes,batch4,Also Jack's Meat Store. MapQuest Website unknown. No company domain.,4640220
Betsill's Transmission,shop:car_repair,242 North Main Street,Jonesboro,GA,(770) 471-8027,https://www.google.com/maps/search/?api=1&query=Betsill%27s%20Transmission%2C%20242%20North%20Main%20Street%2C%20Jonesboro%2C%20GA,no_website,yes,batch4,BBB/MapQuest. No company domain. In-town N Main.,1342604
Wade's Collision,shop:car_repair,8326 Tara Boulevard,Jonesboro,GA,(770) 477-0859,https://www.google.com/maps/search/?api=1&query=Wade%27s%20Collision%2C%208326%20Tara%20Boulevard%2C%20Jonesboro%2C%20GA,no_website,yes,batch4,"Tara Blvd is in Jonesboro. wadesautocollision.com is Marion IA, not this shop.",1342604
Old Tyme Grill & Buffet,amenity:restaurant,8465 Tara Boulevard,Jonesboro,GA,(470) 278-8115,https://www.google.com/maps/search/?api=1&query=Old%20Tyme%20Grill%20%26%20Buffet%2C%208465%20Tara%20Boulevard%2C%20Jonesboro%2C%20GA,facebook_only,yes,batch4,Facebook. Restaurantji 406 reviews. Strongest Jonesboro listing. Tara Blvd in-town (not Morrow bleed).,1342604
Papa James Country Cooking,amenity:restaurant,253 North Main Street Suite D,Jonesboro,GA,,https://www.google.com/maps/search/?api=1&query=Papa%20James%20Country%20Cooking%2C%20253%20North%20Main%20Street%20Suite%20D%2C%20Jonesboro%2C%20GA,facebook_only,yes,batch4,Facebook. Same suite previously NoToSo's (notosos.com); current occupant is Papa James. No company domain.,1342604
Daily Stop Market,shop:convenience,3768 West Golf Course Road,Thatcher,AZ,(928) 348-0299,https://www.google.com/maps/search/?api=1&query=Daily%20Stop%20Market%2C%203768%20West%20Golf%20Course%20Road%2C%20Thatcher%2C%20AZ,no_website,yes,batch4,OSM + Google Place ID ChIJY_YSsa3k14YRs82MKC84tv8. Daily Stop LLC. No company domain.,0473420
La Casita Cafe,amenity:restaurant,3338 West Main Street,Thatcher,AZ,(928) 428-1882,https://www.google.com/maps/search/?api=1&query=La%20Casita%20Cafe%2C%203338%20West%20Main%20Street%2C%20Thatcher%2C%20AZ,facebook_only,yes,batch4,Restaurantji 221 reviews. edan.io/hey-restaurants aggregators (not company sites). Sitka-style web-found; OSM was 1 convenience store. No owned domain.,0473420
Royally Blessed,shop:hairdresser,3776 West Main Street,Thatcher,AZ,,https://www.google.com/maps/search/?api=1&query=Royally%20Blessed%2C%203776%20West%20Main%20Street%2C%20Thatcher%2C%20AZ,no_website,yes,batch4,Booksy-only booking (118 reviews). Booksy is not a company website. Sitka-style web-found. Not Safford bleed.,0473420
Outsiders Bar and Grill,amenity:bar,905 3rd Avenue SW,Watford City,ND,(701) 842-2693,https://www.google.com/maps/search/?api=1&query=Outsiders%20Bar%20and%20Grill%2C%20905%203rd%20Avenue%20SW%2C%20Watford%20City%2C%20ND,facebook_only,yes,batch4,OSM + Facebook. Restaurantji 209 reviews. Distinct from Outlaws Bar (outlawsbarngrill.com). No company domain.,3883860
A & L Auto Repair,shop:car_repair,101 South Main Street,Watford City,ND,(701) 444-3813,https://www.google.com/maps/search/?api=1&query=A%20%26%20L%20Auto%20Repair%2C%20101%20South%20Main%20Street%2C%20Watford%20City%2C%20ND,no_website,likely,batch4,Hubbiz/WhoDoYou/NAICS directories at 101 S Main Watford City. No company domain. Sitka-style web-found (OSM thin/chain).,3883860
High RPM Repair,shop:car_repair,1300 4th Avenue NE,Watford City,ND,(701) 842-3195,https://www.google.com/maps/search/?api=1&query=High%20RPM%20Repair%2C%201300%204th%20Avenue%20NE%2C%20Watford%20City%2C%20ND,no_website,yes,batch4,MapQuest listing for High RPM Repair of Watford City LLC. No company domain. Sitka-style web-found.,3883860
Broncho Grill House & Bar,amenity:restaurant,1918 Main Street,Torrington,WY,(307) 575-2672,https://www.google.com/maps/search/?api=1&query=Broncho%20Grill%20House%20%26%20Bar%2C%201918%20Main%20Street%2C%20Torrington%2C%20WY,facebook_only,yes,batch4,OSM + Facebook. Restaurantji 302 reviews. Strongest Torrington listing. No company domain.,5677530
